xml_id,wikidata_id,ulan_id,artist_label,birth_place,country
HansVonAachen,Q152835,500127905,Q152835,Cologne,Germany
NicoloDellAbbate,Q333563,500011972,Niccolò dell'Abbate,Modena,Italy
PierreAffre,Q3383648,500076634,Pierre Affre,Béziers,France
Agucchi,Q3766546,500313093,Giovanni Battista Agucchi,Bologna,Italy
Albane,Q358147,500005860,Francesco Albani,Bologna,Italy
CherubinoAlberti,Q2553402,500020972,Cherubino Alberti,Sansepolcro,Italy
AlbertiDurante,Q1165466,500027513,Durante Alberti,Sansepolcro,Italy
GiovanniAlberti,Q3106983,500003403,Giovanni Alberti,Sansepolcro,Italy
LeonBattistaAlberti,Q182046,500002025,Leon Battista Alberti,Genoa,Italy
MariottoAlbertinelli,Q436823,500005936,Mariotto Albertinelli,Florence,Italy
HeinrichAldegrever,Q62514,500002169,Heinrich Aldegrever,Paderborn,Germany
AlessandroAlgardi,Q336798,500024200,Alessandro Algardi,Bologna,Italy
Dante,Q1067,500265888,Q1067,Florence,Italy
Correge,Q8457,500006208,Antonio da Correggio,Correggio,Italy
Ingegno,Q2846290,500017980,Andrea di Aloigi,Assisi,Italy
ChristophAmberger,Q653163,500020494,Christoph Amberger,Kaufbeuren,Germany
AngePolitien,Q250414,500324225,Agnolo Poliziano,Montepulciano,Italy
JostAmman,Q116240,500115433,Jost Amman,Zurich,Switzerland
BartolomeoAmmannati,Q312366,500028632,Bartolomeo Ammannati,Settignano,Italy
LippoAndrea,Q18627228,500082343,Lippo d'Andrea,Florence,Italy
JacquesAndrouetDuCerceau,Q781934,500008202,Jacques I Androuet du Cerceau,Paris,France
FraAngelico,Q5664,500029319,Fra Angelico,Vicchio,Italy
EuropaAnguissola,Q1375207,500099676,Europa Anguissola,Cremona,Italy
LuciaAnguissola,Q465443,500031903,Lucia Anguissola,Cremona,Italy
SofonisbaAnguissola,Q236038,500115561,Sofonisba Anguissola,Cremona,Italy
PietroAretino,Q296272,500290983,Pietro Aretino,Arezzo,Italy
SpinelloAretino,Q287934,500030643,Spinello Aretino,Arezzo,Italy
